feature,importance
ret_3,0.27513343
vol_5,0.12676279
vol_10,0.08929062
ret_2,0.05342959
high_low_range_1d,0.04706669
dist_ma_10,0.035175208
ret_5,0.033219688
vol_20,0.03201004
ret_1,0.025085457
vol_ratio_20,0.020971436
VIX,0.017019076
vol_ratio_5,0.012901821
trend_strength_50,0.01192367
ma_20,0.011864037
nasdaq_volatility_20d,0.011689954
market_volatility_20d,0.011574352
ma_10,0.011431929
dist_ma_20,0.01137865
volatility_regime,0.011326497
dist_ma_50,0.011197515
VIX_change_1d,0.011097276
trend_strength_20,0.010921437
SPY_return_5d,0.0103655
ret_20,0.010108154
SPY_return_1d,0.010050406
ret_10,0.010043658
volume_ret_1,0.009529788
ma_50,0.009484802
QQQ_return_5d,0.009126908
QQQ_return_1d,0.008795875
drawdown_50,0.008663493
rsi_14,0.008443954
volume,0.00823765
rsi_change_1d,0.007441072
drawdown_20,0.007237603
