feature,importance
ret_3,0.08253689
vol_10,0.043633647
vol_5,0.042878304
ret_2,0.03593024
earnings_news_count_1d,0.035843257
high_low_range_1d,0.021891046
ret_5,0.020422725
vol_20,0.0139820725
dist_ma_10,0.013652375
volume,0.013013252
ret_1,0.01118175
news_spike_7d,0.010988116
nasdaq_volatility_20d,0.009821172
sentiment_min_3d,0.009189308
downgrade_news_count3d,0.00849793
news_count_20d_avg,0.008458676
negative_event_streak_3d,0.008379196
positive_event_count7d,0.008072792
market_volatility_20d,0.008032309
QQQ_return_1d,0.007935351
dist_ma_50,0.00770669
trend_strength_50,0.0075248675
neg_spike_7d,0.007415297
vol_ratio_5,0.0072510694
abnormal_news_1d,0.0070606363
extreme_neg_count_1d,0.0070228954
VIX,0.006912922
positive_event_negative_tone_count7d,0.0068864524
sentiment_min_5d,0.006846057
dist_ma_20,0.0067594685
VIX_change_1d,0.0067138546
sentiment_min_1d,0.0066554137
investigation_news_count_spike_7d,0.0066183424
sentiment_max_1d,0.0065286
vol_ratio_20,0.00651855
ma_50,0.0064414507
news_count_7d,0.0064397836
abnormal_news_3d,0.0063662836
SPY_return_1d,0.0062967916
positive_event_but_negative_tone,0.006263281
lawsuit_news_count_1d_20d_avg,0.006240321
trend_strength_20,0.0062127225
positive_event_count3d,0.006211044
ma_20,0.00615812
very_neg_count_3d,0.0061328877
abnormal_neg_count_1d,0.0061308765
VIX_spike_5d,0.0061075697
worst_sentiment_3d,0.0059719817
neg_ratio_5d,0.005951247
negative_event_count7d,0.0059322375
abnormal_sentiment_drop_1d,0.005916247
sentiment_shock,0.0058229514
news_count_3d,0.0058182217
neg_prob_mean_1d,0.0057456773
ret_20,0.0057114395
news_count_1d_20d_avg,0.0056885732
extreme_neg_count7d,0.005669836
QQQ_return_5d,0.005668489
negative_event_count_spike_3d,0.0056375507
sentiment_range_1d,0.0056314156
volume_ret_1,0.0056246603
neg_count_1d_20d_avg,0.0054888763
neg_streak_5d,0.0054811747
earnings_news_ratio_1d,0.0054238853
sentiment_std_1d,0.005416592
downgrade_news_count7d,0.005375324
sentiment_mean_7d,0.0053660064
negative_event_count_1d_20d_avg,0.005344329
macro_risk_news_ratio_1d,0.0053376327
sentiment_std_3d,0.005269496
ret_10,0.0052585127
sentiment_mean_5d,0.005253939
neg_streak_3d,0.005201686
SPY_return_5d,0.0051925015
neg_count_5d,0.005192222
sentiment_mean_3d,0.0051183226
sentiment_std_5d,0.0051160604
